Design No.,Sphere 1x,Sphere 1y,Sphere1z,Sphere 2x,Sphere 2y,Sphere2z,Sphere 3x,Sphere 3y,Sphere3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere5z,Sphere 6x,Sphere 6y,Sphere6z,Sphere 7x,Sphere 7y,Sphere7z,Sphere 8x,Sphere 8y,Sphere8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME Coupling coefficient,Reject
356,-28.215,26.16,6.319,-29.513,27.304,-7.404,-15.416,20.123,17.545,-17.179,-24.217,5.267,1.295,6.038,-7.873,-10.709,17.316,16.488,-6.528,-15.866,10.543,-1.269,19.148,-29.815,-14.122,-16.576,10.065,14.902,-25.478,-19.58,79.53,False
229,-20.682,8.186,22.601,6.67,4.306,-26.026,-17.535,-23.989,-3.786,25.969,8.71,19.63,13.831,-19.832,6.342,-25.313,-29.131,24.294,-23.373,-16.372,-28.678,-2.695,19.16,-14.173,-21.493,22.211,-23.374,3.222,-19.457,15.173,76.73,False
457,-5.729,5.169,-3.575,-25.545,14.273,10.249,4.602,-20.469,-11.011,17.675,0.562,24.093,-8.806,-7.584,-16.924,23.471,-26.743,-17.351,-5.462,23.243,26.913,-18.656,-17.573,-2.531,3.679,28.615,-18.828,-6.104,24.304,-19.759,82.11,False
168,-14.321,1.384,20.614,26.134,8.203,-5.939,-16.334,22.687,2.309,-16.6,-20.017,-25.569,-7.015,17.396,-14.008,-1.451,-27.339,8.929,18.882,26.816,10.974,25.048,17.598,-19.164,-22.392,10.486,15.96,-16.536,-28.441,18.519,58.8,False
138,-19.313,5.347,21.767,18.016,7.84,-29.025,12.62,29.883,-28.657,-23.865,16.546,-11.66,-28.191,-9.01,20.304,-6.727,24.366,-24.513,2.418,15.521,-26.835,12.37,-18.8,8.99,12.014,20.222,9.199,15.168,1.095,11.008,51.7,False
219,18.71,-11.527,27.802,2.547,29.478,18.4,-21.01,-18.851,-22.82,-0.34,18.454,13.14,17.97,29.142,12.721,11.188,12.592,13.177,6.968,7.904,-1.909,-1.396,8.95,-25.671,6.335,-16.776,-12.925,11.364,-15.443,13.108,43.94,False
202,-16.608,-21.765,20.497,-1.768,-29.735,-15.115,0.633,24.157,23.965,16.731,13.442,20.811,-26.636,-10.563,-9.244,-3.096,-14.97,13.148,27.656,-10.901,10.774,26.226,16.442,-14.012,-0.726,-4.117,13.679,-18.742,-26.548,-7.866,68.33,False
157,-5.559,18.894,23.307,-19.403,26.111,18.5,8.344,-25.812,0.165,29.337,-12.889,2.002,18.1,0.223,-11.011,20.374,-27.741,-11.158,9.462,25.234,29.299,6.526,3.48,-16.492,11.537,4.191,15.247,14.055,27.002,27.002,53.58,False
425,16.876,18.51,-13.513,-25.111,-17.949,29.611,-24.334,-27.154,25.792,2.91,0.426,-10.252,17.542,-4.642,-3.176,-13.712,-25.579,-25.876,-12.937,20.323,22.998,6.064,0.801,-9.802,7.147,18.672,-6.875,-10.781,20.663,-12.762,48.32,False
63,15.615,-17.808,-8.831,5.602,-16.123,-5.373,27.747,9.696,6.511,23.2,-26.042,13.276,-10.502,6.297,20.943,-9.286,-6.961,20.622,15.129,-8.173,-23.756,25.357,25.852,-25.637,-2.394,-20.828,-13.104,13.532,14.223,-29.193,57.1,False
