Design No.,Sphere 1x,Sphere 1y,Sphere 1z,Sphere 2x,Sphere 2y,Sphere 2z,Sphere 3x,Sphere 3y,Sphere 3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere 5z,Sphere 6x,Sphere 6y,Sphere 6z,Sphere 7x,Sphere 7y,Sphere 7z,Sphere 8x,Sphere 8y,Sphere 8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME_Coupling_coefficient,ME_Coupling_coefficient_pred_corrected,
1,5.363,6.062,-4.694,-5.942,9.633,6.196,-3.744,6.069,6.73,6.344,-4.538,3.639,7.65,-2.373,-6.102,6.496,11.158,-4.989,11.997,-2.968,-2.965,17.886,4.416,-0.922,-2.271,-15.23,-2.29,-7.02,1.439,6.05,234.12,402.71396,28423.92335
2,5.174,7.984,-5.533,-7.243,10.982,8.171,-2.529,9.218,7.779,9.185,-5.065,1.96,9.653,-0.414,-8.654,3.569,15.472,-4.765,13.275,-4.705,-4.155,19.971,6.86,-1.015,-5.886,-18.507,-0.475,-8.896,2.086,3.804,899.9,786.2216,12922.77863
3,4.317,8.004,-5.182,-5.661,11.705,10.399,-4.71,8.284,6.826,5.077,-4.015,1.219,8.356,-0.132,-7.336,4.838,12.357,-3.597,10.989,-6.685,-3.121,20.618,6.248,-0.88,-3.482,-18.982,-0.372,-10.31,0.768,6.779,1098.87,866.24023,54116.60989
4,5.013,6.07,-4.431,-5.394,8.179,8.265,-2.556,6.264,5.902,5.895,-4.549,3.49,6.277,0.005,-7.213,1.981,9.94,-1.87,9.707,-3.001,-3.998,15.285,5.027,-0.304,-2.859,-14.79,-0.92,-6.257,1.516,4.823,321.4,551.9514,53153.94804
5,5.71,6.487,-6.381,-7.15,11.723,6.676,-3.86,9.015,5.549,6.919,-3.6,2.978,8.483,0.397,-8.227,5.06,14.104,-3.707,12.667,-4.435,-5.811,20.331,2.808,-1.049,-4.798,-17.068,-1.786,-9.352,1.849,4.951,136.1,318.08627,33119.00247
6,1.718,5.008,-2.115,-3.154,6.796,6.605,-2.855,4.78,4.35,2.088,-2.317,0.467,4.94,0.179,-3.781,3.083,6.584,-2.103,6.095,-4.493,-1.223,12.211,4.231,-0.753,-1.779,-11.42,0.478,-6.642,0.28,4.591,1075.47,639.2531,190285.1838
7,6.134,6.667,-7.869,-6.649,11.284,9.362,-3.758,10.372,5.723,6.473,-3.317,3.709,7.428,-1.201,-8.082,5.504,13.941,-3.768,11.671,-4.352,-3.586,18.867,4.049,-0.869,-6.495,-17.242,-1.311,-9.875,0.584,4.457,760.31,565.4183,37982.77473
8,7.544,6.955,-6.934,-6.702,12.043,8.871,-3.619,8.255,5.462,9.131,-6.083,3.182,8.253,-1.001,-7.114,4.277,13.948,-2.668,13.872,-4.856,-4.801,19.195,4.784,-2.018,-4.222,-16.456,-2.348,-7.699,1.627,5.926,479.16,251.87703,51657.54845
9,6.111,6.649,-7.213,-6.061,11.069,8.664,-4.227,8.689,6.178,7.199,-4.489,2.12,8.324,-0.737,-7.908,4.396,13.713,-3.631,11.463,-4.908,-4.063,19.129,5.062,-0.363,-4.054,-17.714,-1.838,-8.516,1.455,5.247,1029.76,602.1168,182878.7065
10,4.964,7.495,-10.532,-4.24,9.804,8.082,-6.783,10.314,7.023,6.787,-5.19,1.357,7.544,-0.884,-9.451,4.613,13.101,-4.757,12.516,-4.786,-5.503,17.125,5.784,-1.099,-4.333,-17.021,-2.281,-8.622,1.716,4.662,1114.36,751.80597,131445.4247
11,6.512,7.514,-6.334,-6.65,10.256,7.395,-4.799,8.937,5.763,7.894,-4.509,2.752,7.025,0.05,-8.086,3.644,12.584,-3.934,10.422,-3.519,-4.16,19.177,3.901,-1.498,-5.078,-17.715,-3.67,-8.415,-0.25,5.672,773.04,643.5647,16763.85331
12,4.504,5.369,-7.062,-4.857,10.629,7.209,-4.649,6.623,5.828,7.33,-3.543,3.553,7.418,0.059,-8.752,2.935,9.925,-2.852,10.525,-3.193,-4.915,17.837,5.763,-1.421,-3.549,-16.069,-4.263,-7.268,3.518,6.096,386.08,547.35004,26008.0258
13,4.879,6.802,-6.342,-6.419,11.338,8.499,-5.638,9.792,6.01,8.839,-4.64,1.531,8.788,0.892,-6.656,3.013,14.702,-4.461,12.584,-4.919,-3.458,18.591,6.342,0.179,-4.686,-16.864,-0.754,-9.716,0.368,6.351,930.85,907.7731,532.5433136
14,4.16,7.823,-4.997,-5.509,11.408,10.169,-4.598,8.072,6.677,4.897,-3.912,1.173,8.149,-0.114,-7.121,4.732,12.008,-3.506,10.694,-6.553,-3.007,20.109,6.126,-0.872,-3.379,-18.525,-0.321,-10.089,0.738,6.647,1298.71,844.2271,206554.7064
15,4.256,5.906,-7.448,-4.082,10.489,9.409,-3.913,9.485,6.067,6.643,-4.654,1.894,9.026,-0.697,-8.205,3.451,12.114,-4.351,10.958,-4.617,-2.714,15.821,4.548,-0.319,-1.661,-17.627,-2.483,-7.897,0.831,3.849,1019.37,852.6085,27809.39788
16,7.297,5.832,-5.184,-4.746,10.328,10.863,-4.817,9.605,7.889,7.457,-5.224,1.165,7.366,0.619,-7.924,4.845,13.812,-3.216,9.951,-4.141,-4.615,20.141,6.169,0.233,-3.565,-18.026,-1.014,-8.701,2.163,6.608,577.1,465.39737,12477.47755
17,6.747,6.8,-5.927,-5.3,10.488,7.898,-4.207,8.478,6.655,7.296,-2.945,2.226,8.566,0.655,-5.828,4.719,12.979,-3.451,13.274,-4.223,-3.209,20.085,6.28,0.616,-4.154,-18.079,-1.719,-9.573,2.725,5.38,795.89,472.17694,104790.1452
